number,value,datetime_start,datetime_complete,duration,params_lgbm_learning_rate,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_subsample,params_model,params_rf_max_depth,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,state
32,-30.866712189990707,2025-03-25 09:49:16.269005,2025-03-25 09:49:17.862835,0 days 00:00:01.593830,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
33,-30.866712189990707,2025-03-25 09:49:17.863602,2025-03-25 09:49:19.507594,0 days 00:00:01.643992,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
34,-30.866712189990707,2025-03-25 09:49:19.509562,2025-03-25 09:49:21.419983,0 days 00:00:01.910421,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
35,-27.22032316824465,2025-03-25 09:49:21.419983,2025-03-25 09:49:23.357065,0 days 00:00:01.937082,0.2,100.0,50.0,1.0,LightGBM,,,,,,,,,,,,COMPLETE
36,-25.87412521318733,2025-03-25 09:49:23.357065,2025-03-25 10:16:52.435787,0 days 00:27:29.078722,,,,,RandomForest,,2.0,2.0,150.0,,,,,,,,COMPLETE
37,-26.839606107660938,2025-03-25 10:16:52.437788,2025-03-25 10:16:55.574011,0 days 00:00:03.136223,0.1,100.0,40.0,0.7,LightGBM,,,,,,,,,,,,COMPLETE
38,-30.866712189990707,2025-03-25 10:16:55.575989,2025-03-25 10:17:00.763686,0 days 00:00:05.187697,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
39,-27.041376040776456,2025-03-25 10:17:00.767690,2025-03-25 10:17:04.779374,0 days 00:00:04.011684,,,,,XGBoost,,,,,0.8999999999999999,0.15000000000000002,6.0,100.0,0.10027257421199891,0.48216490715961535,1.0,COMPLETE
40,-30.866712189990707,2025-03-25 10:17:04.781373,2025-03-25 10:17:06.754096,0 days 00:00:01.972723,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
41,-30.866712189990707,2025-03-25 10:17:06.758129,2025-03-25 10:17:08.795767,0 days 00:00:02.037638,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
42,-30.866712189990707,2025-03-25 10:17:08.797819,2025-03-25 10:17:10.835747,0 days 00:00:02.037928,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
43,-30.866712189990707,2025-03-25 10:17:10.838758,2025-03-25 10:17:13.046242,0 days 00:00:02.207484,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
44,-30.866712189990707,2025-03-25 10:17:13.050242,2025-03-25 10:17:14.808130,0 days 00:00:01.757888,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
45,-30.866712189990707,2025-03-25 10:17:14.811136,2025-03-25 10:17:16.476034,0 days 00:00:01.664898,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
46,-26.32430828536025,2025-03-25 10:17:16.478072,2025-03-25 10:24:11.037516,0 days 00:06:54.559444,,,,,RandomForest,,3.0,4.0,50.0,,,,,,,,COMPLETE
47,-30.866712189990707,2025-03-25 10:24:11.038522,2025-03-25 10:24:13.350376,0 days 00:00:02.311854,,,,,LinearRegression,,,,,,,,,,,,COMPLETE
48,-26.84948647880952,2025-03-25 10:24:13.353374,2025-03-25 10:24:16.439374,0 days 00:00:03.086000,0.1,150.0,20.0,0.8999999999999999,LightGBM,,,,,,,,,,,,COMPLETE
49,-27.603608736244407,2025-03-25 10:24:16.442374,2025-03-25 10:24:19.874055,0 days 00:00:03.431681,,,,,XGBoost,,,,,0.7999999999999999,0.1,4.0,100.0,0.5912671131381871,1.0710876042501944,0.7999999999999999,COMPLETE
